Marca,Modelo,Año,Color,Precio
Toyota,Corolla,2020,Blanco,25000.00
Honda,Civic,2019,Azul,22000.00
Ford,Focus,2018,Gris,20000.00
Chevrolet,Cruze,2021,Rojo,26000.00
Volkswagen,Jetta,2017,Negro,18000.00
BMW,Serie 3,2019,Plata,35000.00
Mercedes-Benz,Clase C,2018,Azul,38000.00
Audi,A4,2020,Blanco,40000.00
Hyundai,Elantra,2018,Gris,19000.00
Kia,Forte,2019,Amarillo,21000.00
Nissan,Altima,2017,Blanco,20000.00
Subaru,Impreza,2019,Azul,23000.00
Mazda,Mazda3,2020,Plata,24000.00
Tesla,Model 3,2021,Negro,45000.00
Fiat,500,2018,Rojo,15000.00
