Marca,Modelo,Año,Color,Precio
Toyota,Corolla,2020,Blanco,25000.0
Honda,Civic,2019,Azul,22000.0
Ford,Focus,2018,Gris,20000.0
Chevrolet,Cruze,2021,Rojo,26000.0
Volkswagen,Jetta,2017,Negro,18000.0
BMW,Serie 3,2019,Plata,35000.0
Mercedes-Benz,Clase C,2018,Azul,38000.0
Audi,A4,2020,Blanco,40000.0
Hyundai,Elantra,2018,Gris,19000.0
Kia,Forte,2019,Amarillo,21000.0
Nissan,Altima,2017,Blanco,20000.0
Subaru,Impreza,2019,Azul,23000.0
Mazda,Mazda3,2020,Plata,24000.0
Tesla,Model 3,2021,Negro,45000.0
Fiat,500,2018,Rojo,15000.0
